State,LifeExpectancy,DiseaseBurden,ScreeningRate,LifestyleRisk,SocialRisk,AccessBarrier,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,OBESITY,STROKE,BINGE,CSMOKING,LPA,SLEEP,ACCESS2,BPMED,CHECKUP,CHOLSCREEN,COLON_SCREEN,DENTAL,MAMMOUSE,LONELINESS,FOODSTAMP,FOODINSECU,HOUSINSECU,SHUTUTILITY,LACKTRPT,EMOTIONSPT
Ohio,75.6,18.3,69.8,25.0,15.9,8.2,26.2089275993468,33.3184757757213,7.3649646162221,11.0900816548721,5.90092542188351,7.0430157866086,26.5432553075667,11.2482852476864,31.5108002177463,37.9377789874796,3.04627109417529,18.06409363092,16.168622754491,26.4131409907458,39.2216330974415,8.2431573217202,61.0913554708764,77.7813826891671,84.077441480675,59.5589548176374,61.4715841045182,74.8711594991834,35.2674904735983,11.8938704409363,14.2010560696788,11.9784431137725,8.71758301578661,7.94312465977137,21.6291453456723
Indiana,75.4,18.5,70.1,24.0,15.8,9.2,25.2958345555882,34.8674097975946,7.0988853036081,11.2746113229686,5.77713405690818,7.16859782927545,25.6431651510707,11.4796127896744,33.4458052214726,38.5734379583456,3.04218245819888,17.7508360222939,16.0691551774714,24.2121149897331,37.9640803754767,9.16472572601936,60.1727632736873,78.2286594309182,84.6009533587562,61.1539601056028,60.5312261660311,75.8166764447052,33.4089762393664,9.06311234966266,15.318421824582,12.1346729246113,9.04961865649751,8.07084188911704,23.6650777354063
Missouri,75.2,17.9,68.4,24.9,15.8,9.0,25.2070461588648,32.9389985320502,7.15186755831023,10.6748001957266,5.61717501223291,6.96046321970315,25.1232099168162,10.399314956777,32.477426194748,36.806768879465,3.08292285108465,17.7719295384114,16.3928396672647,27.749208938183,37.5317892676562,8.99297015168814,58.8447398466808,76.543793834611,82.7780623063122,58.4718316750938,59.8002935899527,74.163203392595,32.4965258522264,11.3108628282499,14.3348230305007,13.1558799543305,9.70572500407764,8.7777197847007,20.6161311368455
"South Carolina",75.1,17.7,71.6,23.2,17.1,12.3,24.3983741356756,34.4771631470753,6.95286862268735,9.7162025789572,5.47712577088395,6.36150252289292,23.1243879648664,11.7863390020557,32.8930293403102,35.9555783965614,3.29605681181088,17.3061857596711,13.6602130442908,24.8221827695758,36.8271351149318,12.2806204447767,62.8815174733695,78.705662492992,85.1637264062792,63.6150065408335,62.3754999065595,77.08549803775,32.6923565688656,11.1188936647356,18.3009530928798,14.6079985049523,9.76368903008783,9.12236965053261,24.3795552233227
"New Mexico",74.5,16.9,63.4,22.2,20.7,16.5,22.2746323529412,31.1125735294118,5.96349264705882,9.99636029411765,6.04257352941176,5.96643382352941,23.9824632352941,11.6715441176471,30.1828308823529,35.0786029411765,3.30915441176471,15.0535294117647,14.28125,25.5694117647059,34.0950735294118,16.5197426470588,53.2164705882353,66.2547794117647,81.2819117647059,51.7065808823529,59.8339705882353,68.2397058823529,34.9239705882353,18.8320220588235,22.6987132352941,18.4183455882353,12.6966544117647,11.8727573529412,25.1390808823529
Arkansas,73.9,18.8,67.0,25.6,18.7,11.7,25.0669525065963,37.9326517150396,6.8898746701847,10.3779683377309,6.36866754617414,7.44993403693931,25.313555408971,11.502308707124,33.1457783641161,39.5308047493404,3.43449868073879,15.8268799472296,16.2363786279683,31.0796833773087,39.0661279683377,11.7133905013193,59.9585092348285,77.3014511873351,83.3174802110818,56.3572229551451,54.1606860158311,70.729419525066,35.0309366754617,12.1917216358839,19.2747031662269,15.5406002638522,11.3565633245383,10.2165897097625,27.5880606860158
Oklahoma,73.8,18.8,66.8,24.9,18.6,11.6,25.3494398805078,36.0366691560866,6.83569828230022,11.5674632810555,6.35222803086881,7.2151854617874,26.0159322877769,11.5568085636047,33.5465521533483,39.2390092108539,3.3395070948469,14.8741100323625,16.7564600448096,30.5703759024147,37.594498381877,11.6159571819766,59.7375902414737,76.762285287528,83.3300970873786,54.8928055763007,56.6412496888225,69.6454817027633,33.5633308439134,15.7258152850386,19.064002987304,15.0741598207618,11.0811799850635,9.98526263380632,25.6571072940005
Tennessee,73.8,19.2,68.6,24.5,,11.9,27.2634142897487,36.2811352725219,7.03223665631178,10.9951567353855,5.89505789325049,7.50707427280429,29.0061988138944,11.9410477266309,33.9447754871505,37.5513979101949,3.24161253883084,15.7184693589382,17.5144309517086,25.7059870093194,39.0637955379836,11.9253177068625,58.9618892968088,76.5953685399605,85.3315730019768,58.3657017791584,57.7088534312341,74.7736091499576,,,,,,,
Alabama,73.8,19.2,70.0,24.7,18.9,10.3,26.5949142519219,39.6021683422038,6.83601419278533,10.0927459097181,6.0437808003154,6.9505223733491,24.0801695249359,12.7428543268283,35.6332544845259,39.6048097772521,3.5093435836783,15.423319534792,15.5618568894145,27.752808988764,40.1317169327814,10.3168145081806,61.5774689532821,78.7473487088508,84.2791247782377,61.7688350088705,56.2439779223339,77.2868519613641,36.2752217622708,14.7523358959196,20.0160063079046,15.134989158289,10.4754385964912,10.2968657599054,25.4441159077469
Louisiana,73.8,19.5,70.9,26.5,21.8,9.2,26.5173051519155,39.4685380889476,6.42129018053721,10.351321003963,6.37802730074857,7.51153676794364,27.2368339938353,13.397666226332,33.8536107441656,40.0965433729635,3.76470717745487,18.1829150154117,17.5757815940114,29.5261999119331,40.9077939233818,9.18575517393219,63.4045354469397,80.4172831351827,85.1153236459709,60.935072655218,56.6762659621312,78.6721708498459,37.3713562307354,19.6237780713342,23.2259797446059,17.9611404667547,13.2634302069573,11.8157419638926,29.2050858652576
Mississippi,72.6,19.1,61.5,26.1,21.0,11.9,26.4831437435367,41.6221647707687,6.43471216821785,10.038710789383,6.26528783178214,7.50978972768011,20.0832126852809,13.5489486384006,34.0619786280593,40.6410203378145,3.92299207169941,14.6619786280593,17.368286797656,33.0638745260255,39.3645294725957,11.9014133057566,64.9052395725612,80.095725611858,84.9574629438125,56.4648741813168,9.0527749052051,73.4792140641158,37.2023095484316,14.2928300586005,23.2352981730438,18.1243709065839,12.1999655291279,12.4376766632196,29.5791451223716
"West Virginia",72.2,21.0,69.1,27.3,18.7,8.9,31.7570527522936,38.434747706422,7.42310779816514,12.3362385321101,6.6706995412844,8.78102064220183,31.9501720183486,12.85625,36.2260321100917,40.7703555045872,3.32293577981651,16.1054472477064,20.0294724770642,31.0900229357798,41.9369839449541,8.94088302752294,60.897878440367,78.4258600917431,84.3814793577982,60.6326834862385,54.6674885321101,75.3700688073395,35.1892775229358,18.9260894495413,17.2070527522936,13.9073967889908,12.3143922018349,9.57448394495413,23.8549311926606
